AuthorYear,Authors,Title,Journal,Year,URL,Abstract,Relevant,Experiment,SourceType,SourceTypeNEW,Original,DataSourceReference,Country,YearsCovered,VarsSocioDemographic,VarPolBehavior,VarsOffices,VarsDistrict,VarsInteresting,Questions?
Coman2012,"COMAN, E. M. A. N. U. E. L. E. M. I. L.",Legislative Behavior in Romania: The Effect of the 2008 Romanian Electoral Reform,LSQ,2012,http://www.jstor.org/stable/41719840,"This article analyzes the impact of electoral rules on legislators' rate of vote defection from their party position in legislatures while accounting for how partyleadership strength mediates this impact. To this end it looks at the effect of the 2008 Romanian electoral reform. The reform shifted the electoral system from a closed-list proportional representation to one in which all candidates run in single-member districts. The analysis finds that because party leaders have maintained their leverage intact, the impact of the reform was minimal, with legislators being more likely to defect in less important votes only, in which party leaders allow defection. Also, after the reform legislators are more likely to use other means to impress their voters, such as legislative initiation and cabinet questioning. These forms of behavior are more accepted by party leaders.",yes,yes,original,original,,,Romania,2008,no,yes,yes,yes,,
COUYOUMDJIAN2012,"COUYOUMDJIAN, J. U. A. N. P. A. B. L. O. LONDREGAN, J. O. H. N. B. E. N. E. D. I. C. T.",Cultivating Votes in Rural Chile,LSQ,2012,http://www.jstor.org/stable/24894379,"In Chile's two-member legislative districts we show there are two groups of swing voters, one group for the first seat won by the governing coalition, another for the second. We build a model that allows us to identify the relative prevalence of these voters across communities. Using data on the allocation of discretionary agricultural loans, we find that communities with relatively many voters pivotal for the first seat receive more loans than they otherwise would have, but we find no systematic advantage for districts that are pivotal for the second seat.",yes,no,government,government,,INDAP. 1998. Memoria 1997. Santiago: IND,Chile,1997,yes,yes,yes,yes,agricultural development funds,
CRISP2012,"CRISP, B. R. I. A. N. F. DRISCOLL, A. M. A. N. D. A.",The Strategic Use of Legislative Voting Procedures,LSQ,2012,http://www.jstor.org/stable/41719832,"Legislative votes can be taken by roll call---noting the position of each individual member---or by some form of indication (sitting or standing, shouting yea or nay, etc.)---noting only an aggregate outcome. Cameral rules define one method of voting as the standard operating procedure and how to invoke any alternative voting methods. We develop a series of hypotheses related to position taking to explain why, when procedures would typically lead to a vote taken by indication, legislators choose to vote by roll call---a means that makes it much easier for actors outside the chamber to observe the positions taken by individual legislators and partisan blocs. With data from Argentina and Mexico, we test these hypotheses regarding the strategic choice of vote procedures and their relationship to observed party unity.",yes,no,government,government,,"Minutes of Lower Floor Meetings, Argentina March 2007- December 2007, Mexico September 2006- May 2007","Mexico, Argentina",2006-2007,no,yes,no,no,position in rollcall voting,
Crisp2012a,"Crisp, Brian F. Potter, Joshua D. Lee, John J. W.",Entry and Coordination in Mixed-Member Systems: A Controlled Comparison Testing the <em>Contamination</em> Hypothesis,JOP,2012,http://www.jstor.org/stable/10.1017/s0022381611001769,"Do the logics of entry and coordination that hold in pure single-member district plurality (SMDP) systems and in pure proportional representation (PR) systems hold in the SMDP tier and the PR tier of mixed-member systems? The fact that single-member districts are embedded in multimember districts means the logic of entry and coordination in either may be contaminated by the existence of the other. How can we establish the counterfactual of how many parties we should expect in one tier if the other tier did not exist? We leverage the design of districts in the United Kingdom to address this challenge, observing voting in the same (or very similar) districts but under multiple electoral systems. We find only limited support for the hypothesis that contamination occurs across tiers of mixed-member systems and conclude that there appears to be generally sophisticated decision making about both entry and coordination.1",yes,no,government; scholarly; institute,government; scholarly; institute,,"Rallings, Colin, and Michael Thrasher. 1998. Britain Votes 6: British Parliamentary Election Results 1997. Ashgate Publishing.; The Guardian; BBC; British Electoral Commission Regional Election Commission; ",UK,"1997, 1999, 2001, 2003, 2007, 2009",no,yes,no,yes,,
CUNOW2012,"CUNOW, S. A. U. L. BARRY, A. M. E. S. DESPOSATO, S. C. O. T. T. RENNO, L. U. C. I. O.",Reelection and Legislative Power: Surprising Results from Brazil,LSQ,2012,http://www.jstor.org/stable/41719851,"A diverse and growing literature ties legislative professionalization and power to career paths. In particular, higher rates of reelection and longer legislative careers should produce more professional, competent, and high-quality legislatures. Legislators have more incentives to strengthen their own institution when they intend to remain there for a long career. Using data from the most recent constitutional convention in Brazil, we show that legislators with greater prospects for long careers were actually less likely to support strengthening the legislative branch. We explain this as part of a local equilibrium where career legislators' short-term need for pork trumped their long-term interest in a stronger institution.",yes,no,scholarly,scholarly,,"Ames, Barry, and Timothy J. Power. 1990. ""Research Guide to Roll-Call Votiing Brazil's. Constituent Assembly, 1987-1988."" Unpublished manuscript. Washiton University at St. Louis",Brazil,1988,no,yes,yes,no,,
DESPOSATO2011,"DESPOSATO, S. C. O. T. T. W. KEARNEY, M. A. T. T. H. E. W. C. CRISP, B. R. I. A. N. F.",Using Cosponsorship to Estimate Ideal Points,LSQ,2011,http://www.jstor.org/stable/23053276,"Ideal point estimates based on roll-call vote results have provided leverage for a variety of theory testing efforts. Recently, scholars have suggested using cosponsorship data as a proxy for roll-call votes. Conceptually similar to roll-call votes, cosponsorship data are appealing for a variety of reasons. However, the data-generating process for cosponsorship is untheorized and little studied. We examine the properties of ideal point estimates from cosponsorship data. We find that the ability to estimate ideal points from cosponsorship data is contingent on the underlying data-generating process reliance on such measures requires strong and often unrealistic assumptions.",yes,no,government,government,,"Cong. Rec. 2008. In 110th Congress, 1st Session, D80. ;Cong. Rec. 2009. In 110th Congress, 2nd Session, D1336-D1337.",US House,2008-2009,no,yes,yes,yes,,
DIERMEIER2011,"DIERMEIER, D. A. N. I. E. L. VLAICU, R. A. Z. V. A. N.","Parties, Coalitions, and the Internal Organization of Legislatures",APSR,2011,http://www.jstor.org/stable/41495070,"We present a theory ofparties-in-legislatures that can generate partisan policy outcomes despite the absence of any party-imposed voting discipline. Legislators choose all procedures and policies through majority-rule bargaining and cannot commit to vote against their preferences on either. Yet, off-median policy bias occurs in equilibrium because a majority of legislators with correlated preferences has policy-driven incentives to adopt partisan agenda-setting rules---as a consequence, bills reach the floor disproportionately from one side of the ideological spectrum. The model recovers, as special cases, the claims of both partisan and nonpartisan theories in the ongoing debate over the nature of party influence in the U. S. Congress. We show that (1) party influence increases in polarization, and (2) the legislative median controls policy making only when there are no bargaining frictions and no polarization. We discuss the implications of our findings for the theoretical and empirical study of legislatures.",maybe,no,scholarly,scholarly,,"Krehbiel, K. 1991. Information and Legislative Organization. Ann Arbor: University of Michigan ",US Senate,1980-1990,no,yes,yes,yes,,
Diermeier2012,"DIERMEIER, D. A. N. I. E. L.; GODBOUT, J. E. A. N.-F. R. A. N. Ç. O. I. S.; BEI, Y. U.; KAUFMANN, S. T. E. F. A. N.",Language and Ideology in Congress,BJPS,2012,http://www.jstor.org/stable/41485863,"Legislative speech records from the 101st to 108th Congresses of the US Senate are analysed to study political ideologies. A widely-used text classification algorithm -Support Vector Machines (SVM) -allows the extraction of terms that are most indicative of conservative and liberal positions in legislative speeches and the prediction of senators' ideological positions, with a 92 per cent level of accuracy. Feature analysis identifies the terms associated with conservative and liberal ideologies. The results demonstrate that cultural references appear more important than economic references in distinguishing conservative from liberal congressional speeches, calling into question the common economic interpretation of ideological differences in the US Congress.",maybe,no,original,original,,self classification,US Senate,1989-2004,yes,yes,yes,yes,,
EGGERS2009,"EGGERS, A. N. D. R. E. W. C. HAINMUELLER, J. E. N. S.",MPs for Sale? Returns to Office in Postwar British Politics,APSR,2009,http://www.jstor.org/stable/27798523,"Many recent studies show that firms profit from connections to influential politicians, but less is known about how much politicians financially benefit from wielding political influence. We estimate the returns to serving in Parliament, using original data on the estates of recently deceased British politicians. Applying both matching and a regression discontinuity design to compare Members of Parliament (MPs) with parliamentary candidates who narrowly lost, we find that serving in office almost doubled the wealth of Conservative MPs, but had no discernible financial benefits for Labour MPs. Conservative MPs profited from office largely through lucrative outside employment they acquired as a result of their political positions we show that gaining a seat in Parliament more than tripled the probability that a Conservative politician would later serve as a director of a publicly traded firm---enough to account for a sizable portion of the wealth differential. We suggest that Labour MPs did not profit from office largely because trade unions collectively exerted sufficient control over the party and its MPs to prevent members from selling their services to other clients.",yes,no,original,original,,self gathered,UK,1950-1970,no,no,yes,yes,,
Eggers2014,"Eggers, Andrew C. Spirling, Arthur","Ministerial Responsiveness in Westminster Systems: Institutional Choices and House of Commons Debate, 1832--1915",AJPS,2014,http://www.jstor.org/stable/24363531,"In Westminster systems, governments enjoy strong agenda-setting powers but are accountable to an inquisitorial opposition. This article provides insights into the origins of this arrangement from the British House of Commons, drawing primarily on a new data set of a half million parliamentary speeches. We show that, according to a novel measure we develop, government ministers became more responsive to opposition members of parliament in the same period that the government's agenda power was most conclusively strengthened---roughly, the two decades culminating in Balfour's railway timetable"" of 1902. We argue that this increase in responsiveness helps to explain why opposition members of parliament acceded to reductions in their procedural power. We thus highlight a link between government strength and opposition scrutiny in the historical development of the Westminster system.""",maybe,no,institute,government,,"Hansard Archive, http://www.hansard-archive.parl",UK,1832-1915,no,yes,yes,yes,,
Ellis2013,"Ellis, Christopher",Social Context and Economic Biases in Representation,JOP,2013,http://www.jstor.org/stable/10.1017/s0022381613000376,"This article explores the role of political context in shaping economic biases in representation---the degree to which wealthy citizens' views are more strongly represented than poorer citizens' views in the choices of policymakers. I develop a general model that explains why poorer citizens will be better represented relative to the rich in certain political contexts than others, arguing that the relative representation of the poor will be stronger in contexts that make the views of the poor relevant and accessible to policymakers. I then derive several specific hypotheses that flow from this model and test these hypotheses through a study of the dyadic relationships between citizens and their representatives in the U.S. Congress. The results show that poorer citizens are better represented relative to the rich in Congressional districts that are electorally competitive, have low median incomes, have relatively equal distributions of incomes, have a significant organized labor presence, and are represented by Democrats.",yes,no,government; institute,scholarly,,Cooperative Congressional Election Study (CCES) 2008 Mass Opinon Data,US Senate,2008,yes,yes,no,yes,,
ENGSTROM2010,"ENGSTROM, E. R. I. K. J. EWELL, W. I. L. L. I. A. M.",The Impact of Unified Party Government on Campaign Contributions,LSQ,2010,http://www.jstor.org/stable/25750401,"This article examines the connection between unified party government and campaign contributions. Our central argument is that unified party government confers a substantial, but previously overlooked, fundraising advantage to intra-chamber majority parties. We examined data on corporate campaign contributions to U.S. House incumbents and state legislators in 17 different legislative chambers. We found a strong fundraising benefit accruing to intra-chamber majority status across all of these legislatures, but the benefit is heavily conditioned by the presence of unified or divided government. The results offer important implications for our understanding of the financial balance of power in American politics and for the vast scholarly literature on unified party government.",yes,no,institute,government,,National Institute on Money in State Politics,US House,1980-2004,no,yes,yes,yes,campaign funding contribution,
Ensley2009,"Ensley, Michael J. Tofias, Michael W. de Marchi, Scott",District Complexity as an Advantage in Congressional Elections,AJPS,2009,http://www.jstor.org/stable/20647962,"Scholars of congressional elections have argued that an increase in constituent diversity increases the level of electoral competition. Following models of boundedly rational candidates, we argue that there is strong reason to believe that the opposite is true. As the complexity of the electoral landscape increases, challengers will have a more difficult time locating an optimal platform when facing an experienced incumbent. Using data from the 2000 National Annenberg Election Study, we construct a novel measure of district complexity for U.S. House districts and test whether the entry of quality challengers and the incumbent's share of the two-party vote are affected by the complexity of the electoral landscape. We find strong support for the hypothesis that complexity benefits incumbents for both indicators of electoral competition, which stands in contrast to most of the existing literature on diversity and incumbent performance.",yes,no,institute,scholarly,,2000 Annenburg National Election Study,US House,2000,no,yes,yes,yes,,
Feigenbaum2015,"Feigenbaum, James J. Hall, Andrew B.",How Legislators Respond to Localized Economic Shocks: Evidence from Chinese Import Competition,JOP,2015,http://www.jstor.org/stable/10.1086/682151,"Alemân, Eduardo, Ernesto Calvo, Mark P. Jones, and Noah Kaplan. 2009. ""Comparing Cosponsorship and Roll-Call Ideal Points."" Legislative Studies Quarterly 32(3): 449-74; The Class Distributions of Argentine Legislators in the USAL Survey and the Directorio Legislativo Dataset; International Labor Organization Dataset",yes,no,scholarly; institute,scholarly,,"Autor, David H., David Dorn, and Gordon H. Hanson. 2013a. “The China Syndrome: Local Labor Market Effects of Import Competition in the United States.” American Economic Review 103 (6): 2121–68.; http://www.voteview .com",US House,1990-2010,no,yes,no,no,economic shocks from chinese import,
FEINSTEIN2010,"FEINSTEIN, B. R. I. A. N. D.",The Dynasty Advantage: Family Ties in Congressional Elections,LSQ,2010,http://www.jstor.org/stable/25750402,"Political dynasties, families in which multiple members have held elected office, commonly feature in the U.S. Congress. I explored the electoral origins of this phenomenon and determined that members of political dynasties have a significant advantage over first-generation politicians in open-seat House elections. Using an original dataset containing candidate- and district-level covariates for all candidates in open-seat House contests between 1994 and 2006, I found that dynastic politicians enjoy brand name advantages giving them a significant edge over comparable nondynastic opponents. In contrast, hypotheses concerning potential advantages stemming from past political experience and fundraising ability yield null results.",yes,no,original,original,,,US House,1994-2006,yes,yes,yes,yes,expenditures difference,
Fortunato2013,"Fortunato, David",Majority Status and Variation in Informational Organization,JOP,2013,http://www.jstor.org/stable/10.1017/s0022381613000935,"To maintain its policy cartel, the majority party requires information to recognize good policy and sufficient votes to realize it. There is ample research demonstrating the majority's ability to mobilize votes, but no empirical research examining its ability to facilitate efficient information transmission. Here, I investigate differences between the majority and minority in maintaining an informational organization (representative committee delegations that share their information with copartisans) and examine the effects of this organization on expressed legislative uncertainty. By analyzing comprehensive new data, I find that the majority is most often able to maintain representative committee contingents, but the minority is not. Further, the majority is able to induce its nonrepresentative delegations to be informative however, certain types of outlying contingents significantly increase the minority's policy uncertainty. Finally, I conclude that the majority's informational organization is superior to that of the minority and speculate that this may have electoral implications.",maybe,no,scholarly,scholarly,,"Poole, Keith T., and Nolan McCarty. Roll Call Matrices for Congresses 102–108: House, 102–108, accessed on April 14, 2013.",US House,1955-2005,no,yes,yes,yes,,
Fouirnaies2014,"Fouirnaies, Alexander Hall, Andrew B.",The Financial Incumbency Advantage: Causes and Consequences,JOP,2014,http://www.jstor.org/stable/10.1017/s0022381614000139,"In this article, we use a regression discontinuity design to estimate the causal effect of incumbency on campaign contributions in the U.S. House and state legislatures. In both settings, incumbency causes approximately a 20--25 percentage-point increase in the share of donations flowing to the incumbent's party. The effect size does not vary with legislator experience and does not appear to depend on incumbent office-holder benefits. Instead, as we show, the effect is primarily the result of donations from access-oriented interest groups, especially donors from industries under heavy regulation and those with less ideological ties. Given the role of money in elections, the findings suggest that access-oriented interest groups are an important driver of the electoral security of incumbents.",maybe,no,scholarly; institute,"scholarly, government",,"Klarner, Carl, William Berry, Thomas Carsey, Malcolm Jewell, Richard Niemi, Lynda Powell, and James Snyder. 2013. ‘‘State Legislative Election Returns (1967-2010).’’ http://dx.doi.org/ 10.3886/ICPSR34297.v1 ; The National Institute on Money in State Politics (http://www.followthemoney.org)",US House and Senate,1988-2010,no,yes,yes,yes,,concerning state data?
Fraga2016,"Fraga, Bernard L.",Candidates or Districts? Reevaluating the Role of Race in Voter Turnout,AJPS,2016,http://www.jstor.org/stable/24583053,"Leading theories of race and participation posit that minority voters are mobilized by co-ethnic candidates. However, past studies are unable to disentangle candidate effects from factors associated with the places from which candidates emerge. I reevaluate the links between candidate race, district composition, and turnout by leveraging a nationwide database of over 185 million individual registration records, including estimates for the race of every voter. Combining these records with detailed information about 3,000 recent congressional primary and general election candidates, I find that minority turnout is not higher in districts with minority candidates, after accounting for the relative size of the ethnic group within a district. Instead, Black and Latino citizens are more likely to vote in both primary and general elections as their share of the population increases, regardless of candidate race.",yes,no,institute; government,"government, original",,Catalist ILC https://www.catalist.us/; Federal Election Commission (FEC) htftp://wvww.foec.gtov/epubrrec/selectionrersults.shctmil,US House and Senate,"2006, 2008, 2010",yes,no,yes,yes,co-ethnic candidacy,
Fukumoto2009,"Fukumoto, Kentaro",Systematically Dependent Competing Risks and Strategic Retirement,AJPS,2009,http://www.jstor.org/stable/25548149,"In many applications of survival analysis, the risk of an event occurring for one reason is dependent on the risk of the same event occurring for another reason. For example, when politicians suspect they might lose an election, they may strategically choose to retire. In such situations, the often-used multinomial logit model suffers from bias and underestimates the degree of strategic retirement, for example, to what extent poor prior electoral performance diminishes electoral prospects. To address this problem, the present article proposes a systematically dependent competing-risks (SDCR) model of survival analysis. Unlike the frailty model, the SDCR model can also deal with more than two risks. Monte Carlo simulation demonstrates how much the SDCR model reduces bias. Reanalysis of data on U.S. congressional careers (Box-Steffensmeier and Jones 2004) documents the strategic retirement of representatives, indicating that electoral pressure is more effective at turning out incumbents than previously recognized.",yes,no,scholarly,scholarly,,"Box-Steffensmeier, Janet M., and Bradford S. Jones. 1997. ""Time Is ofthe Essence: Event History Models in Political Science."" American Journal of Political Science 41 (4): 1414-61.",US House ,1950-1976,no,yes,yes,no,,
GERALD2010,"GERALD, G. A. M. M. KOUSSER, T. H. A. D.",Broad Bills or Particularistic Policy? Historical Patterns in American State Legislatures,APSR,2010,http://www.jstor.org/stable/27798544,"When do lawmakers craft broad policies, and when do they focus on narrow legislation tailored to a local interest? We investigate this question by exploring historical variation in the types of bills produced by American state legislatures. Drawing on a new database of 165,000 bills--covering sessions over 120 years in thirteen different states--we demonstrate the surprising prominence of particularistic bills affecting a specific legislator's district. We then develop and test a theory linking the goals of legislators to their propensity to introduce district bills rather than broad legislation. We find that, consistent with our predictions, politicians are more likely to craft policies targeted to a particular local interest when a legislature is dominated by one party or when it pays its members relatively high salaries. These findings provide empirical support for Key's (1949) thesis that one-party politics descends into factionalism and undermines the making of broad public policy.",maybe,no,scholarly,scholarly,,"Burns, Nancy, and Gerald Gamm. 1997. ""Creatures of the State: State Politics and Local Government, 1871-1921. Urban Affairs Review 33: 59-96",US House,1881-1997,yes,yes,yes,yes,,
Giger2016,"Giger, Nathalie Kl{\u}ver Heike""",Voting Against Your Constituents? How Lobbying Affects Representation,AJPS,2016,https://www.jstor.org/stable/24583058,"Citizens delegate the representation of their political preferences to members of Parliament (MPs), who are supposed to represent their interests in the legislature. However, MPs are exposed to a variety of interest groups seeking to influence their voting behavior. We argue that interest groups influence how MPs cast their vote in Parliament, but that this effect varies across groups. While lobbying by sectional groups provides incentives for MPs to defect from their constituents, we expect that cause groups in fact strengthen the link between MPs and their voters. We test our argument based on an innovative study of 118 Swiss public referenda, which allows for directly comparing voter preferences with legislative voting of 448 MPs on these issues. Drawing on a multilevel regression analysis, this study shows that interest groups considerably affect the link between MPs and their voters. Our findings have important implications for our understanding of political representation.",yes,no,scholarly,scholarly,,"Stadelmann, David, Marco Portmann, and Reiner Eichenberger. 2013. ""Quantifying Parliamentary Representation of Con stituents' Preferences with Quasi-Experimental Data."" Jour nal of Comparative Economics 41(1): 170-80.",Switzerland,"1999, 2006, 2009",no,yes,yes,no,,
Gillion2012,"Gillion, Daniel Q.",Protest and Congressional Behavior: Assessing Racial and Ethnic Minority Protests in the District,JOP,2012,http://www.jstor.org/stable/10.1017/s0022381612000539,"Although minority protest is often characterized as an effective form of political participation, previous research has been unsuccessful in establishing a direct link between protest activity and congressional support for minority interests. However, the shortcoming of the existing literature is related to an analytical focus at the aggregate level, where only the passage of congressional legislation and national-level protest events are considered. By linking district-level minority protest actions to individual roll-call votes on race, I hypothesize that minority activism can indicate constituency preferences and inform legislators' votes. This analytical approach provides a more nuanced understanding of the influence that citizens' behavior has on congressional policy. Using protest data and congressional roll-call votes from the 87th to the 101st Congress, the empirical analysis demonstrates that representatives are attuned to the social conditions of their district and use minority protest as an informative cue that shapes their congressional voting behavior.",yes,no,institute,institute,,"Dynamics of Collective Action Database, New York Times Minority Protest Reporting, 1960-1995",US House,1960- 1995,yes,yes,no,no,,
Griffin2012,"Griffin, John D. Newman, Brian","Voting Power, Policy Representation, and Disparities in Voting's Rewards",JOP,2012,http://www.jstor.org/stable/10.1017/s0022381612000862,"Reelection-minded officials have motivations to represent some of their constituents more than others when casting roll-call votes. In particular, reelection seekers have incentives to appeal to those with greater ``voting power'' (Bartels 1998): those who are likely to vote, are not strongly predisposed to vote for one of the parties, and are members of large groups within a particular constituency. We present two novel findings stemming from these incentives. First, we find that those with greater voting power tend to enjoy better policy representation. Second, the rewards of voting are greater for those belonging to groups with more voting power. Since voting power varies across racial/ethnic and income lines, these findings hold significant normative implications.",yes,no,institute,"institue, scholarly",,Congressional Quarterly Dataset; American Association of University Women; 2000 and 2004 National Annenberg Election Surveys (NAES),US House,"2001-2002; 2004, 2005-2006, 2007-2008",yes,yes,no,no,,
GRIFFIN2012a,"GRIFFIN, J. O. H. N. D. NEWMAN, B. R. I. A. N. WOLBRECHT, C. H. R. I. S. T. I. N. A.",A Gender Gap in Policy Representation in the U.S. Congress?,LSQ,2012,http://www.jstor.org/stable/41719831,"In the first article to evaluate the equality of dyadic policy representation experienced by women, we assess the congruence between U.S. House members' roll-call votes and the policy preferences of their female and male constituents. Employing two measures of policy representation, we do not find a gender gap in dyadic policy representation. However, we uncover a sizeable gender gap favoring men in districts represented by Republicans, and a similarly sizeable gap favoring women in districts represented by Democrats. A Democratic majority further improves women's dyadic representation relative to men, but having a female representative (descriptive representation) does not.",yes,no,institute,scholarly,,2004 National Annenberg Election Study (NAES) Rolling Cross Section,US House ,2005-2006,yes,yes,yes,yes,,
GRIMMER2012,"GRIMMER, J. U. S. T. I. N. MESSING, S. O. L. O. M. O. N. WESTWOOD, S. E. A. N. J.",How Words and Money Cultivate a Personal Vote: The Effect of Legislator Credit Claiming on Constituent Credit Allocation,APSR,2012,http://www.jstor.org/stable/23357705,"Particularistic spending, a large literature argues, builds support for incumbents. This literature equates money spent in the district with the credit constituents allocate. Yet, constituents lack the necessary information and motivation to allocate credit in this way. We use extensive observational and experimental evidence to show how legislators' credit claiming messages---and not just money spent in the district---affect how constituents allocate credit. Legislators use credit claiming messages to influence the expenditures they receive credit for and to affect how closely they are associated with spending in the district. Constituents are responsive to credit claiming messages---they build more support than other nonpartisan messages. But contrary to expectations from other studies, constituents are more responsive to the total number of messages sent rather than the amount claimed. Our results have broad implications for political representation, the personal vote, and the study of U.S. Congressional elections.",yes,yes,scholarly; original,scholarly; original,,"Corporative Congressional Election Study; Grimmer, Justin. A Bayesian hierarchical topic model for political texts: Measuring expressed agendas in Senate press releases. 2010, Oxford University Press.",US House and Senate,2005-2010,no,yes,no,yes,,
Grimmer2013,"Grimmer, Justin Powell, Eleanor Neff",Congressmen in Exile: The Politics and Consequences of Involuntary Committee Removal,JOP,2013,http://www.jstor.org/stable/10.1017/s0022381613000704,"We show how preferred committee assignments act as an electoral subsidy for members of Congress---empowering representatives' legislative careers. When holding preferred assignments, legislators are free to focus on legislative activity in Washington, DC. But when the subsidy is removed, legislators are forced to direct attention to the district. To test our theory of legislative subsidy, we exploit committee exile---the involuntary removal of committee members after a party loses a sizable number of seats. Legislators are selected for exile using members' rank on the committee, causing exiled and remaining legislators to appear strikingly similar. Using exile, we show that it has only limited electoral consequences, but this is partly due to compensatory efforts. Exiled legislators shift attention away from Washington and towards the district: they raise and spend more money for reelection, author less legislation, are absent for more days of voting, and vote with their party less often.",yes,no,scholarly,scholarly,,"Nelson, Garrison. 2011. ‘‘Committees in the U.S. Congress, 1947–92, 80th-102nd Congresses.’’ Accessed August 11, 2011. http://web.mit.edu/17.251/www/data_page.html.; Stewart, Charles, III and Jonathan Woon. 2011. ‘‘Congressional Committee Assignments, 103rd to 112th Congresses, 1993–2011: House of Representatives.’’ August 11, 2011. http://web.mit.edu/17.251/www/data_page.html.
",US House,1993-2011,no,yes,yes,yes,committee exile,
Grimmer2013a,"Grimmer, Justin",Appropriators not Position Takers: The Distorting Effects of Electoral Incentives on Congressional Representation,AJPS,2013,http://www.jstor.org/stable/23496643,"Congressional districts create two levels of representation. Studies of representation focus on a disaggregated level: the electoral connection between representatives and constituents. But there is a collective level of representation---the result of aggregating across representatives. This article uses new measures of home styles to demonstrate that responsiveness to constituents can have negative consequences for collective representation. The electoral connection causes marginal representatives---legislators with districts composed of the other party's partisans---to emphasize appropriations in their home styles. But it causes aligned representatives---those with districts filled with copartisans---to build their home styles around position taking. Aggregated across representatives, this results in an artificial polarization in stated party positions: aligned representatives, who tend to be ideologically extreme, dominate policy debates. The logic and evidence in this article provide an explanation for the apparent rise in vitriolic debate, and the new measures facilitate a literature on home styles.",yes,no,scholarly,scholarly,,"Lax, Jeffrey, Phillips, Justin. How Should We Estimate Public Opinion in The States? American Political Science Review. 2009.",US House,2004,no,yes,no,yes,,
Grose2015,"Grose, Christian R. Malhotra, Neil Houweling, Robert Parks Van",Explaining Explanations: How Legislators Explain their Policy Positions and How Citizens React,AJPS,2015,http://www.jstor.org/stable/24583093,"Legislators claim that how they explain their votes matters as much as or more than the roll calls themselves. However, few studies have systematically examined legislators' explanations and citizen attitudes in response to these explanations. We theorize that legislators strategically tailor explanations to constituents in order to compensate for policy choices that are incongruent with constituent preferences, and to reinforce policy choices that are congruent. We conduct a within-subjects field experiment using U.S. senators as subjects to test this hypothesis. We then conduct a between-subjects survey experiment of ordinary people to see how they react to the explanatory strategies used by senators in the field experiment. We find that most senators tailor their explanations to their audiences, and that these tailored explanations are effective at currying support---especially among people who disagree with the legislators' roll-call positions.",yes,yes,original,original,,letter to senator,US Senate,2007-2008,no,yes,no,yes,,
Groseclose2010,"Groseclose, Tim Milyo, Jeffrey",Sincere Versus Sophisticated Voting in Congress: Theory and Evidence,JOP,2010,http://www.jstor.org/stable/10.1017/s0022381609990478,"An asymmetry exists in the empirical literature on sophisticated voting in Congress. All studies that find supporting evidence of sophisticated voting have been only piecemeal---that is, they examine only one or a few roll calls. In contrast, the studies that systematically study many roll calls conclude that sophisticated voting is, at best, very rare. We are aware of three such systematic studies---those by Poole and Rosenthal (1997), Wilkerson (1999), and Ladha (1994). While Ladha's study has gone relatively unnoticed, we reexamine his results and explain why they may be the most important of all empirical work on sophisticated voting. In addition, we introduce a theoretical model, and we show how it, along with some subtle aspects of the rules for voting in the House and Senate, provides a rational-choice explanation for the lack of sophisticated voting in Congress.",maybe,no,scholarly,scholarly,,"Ladha, Krishna K. 1994. ‘‘Coalitions in Congressional Voting.’’ Public Choice 78: 43–64.,  http://voteview.com",US House and Senate,,no,yes,no,no,sophisticated voting,
Hainmueller2015,"Hainmueller, Jens Hall, Andrew B. Snyder, James M.",Assessing the External Validity of Election RD Estimates: An Investigation of the Incumbency Advantage,JOP,2015,http://www.jstor.org/stable/10.1086/681238,"The regression discontinuity (RD) design is popular because it provides a design-based estimate of the incumbency advantage. However, the RD estimate is ``local'': it only identifies the effect in hypothetical elections with a 50-50 tie between the Democratic and Republican candidates. There is significant uncertainty and disagreement over the incumbency effect in safer districts away from this threshold. Indeed, mirroring the competing arguments in the theoretical literature, a survey of political scientists reveals that roughly equal numbers of respondents predict the effect to be either larger, smaller, or the same in less competitive districts. We employ a new method based on a validated conditional independence assumption that allows us to estimate the effect of incumbency in districts in a window around the threshold as large as 15 percentage points---that is, elections in which the winning candidate secured as much as 57.5% of the two-party vote. We find that the incumbency advantage is no larger or smaller in these less competitive cases.",yes,no,scholarly;governmental,scholarly,,"Ansolabehere, Stephen, and James M. Snyder Jr. 2002. “The Incumbency Advantage in US Elections: An Analysis of State and Federal Offices, 1942–2000.” Election Law Journal 1 (3): 315–38.",US ,1946-2012,no,no,yes,yes,,"author says data comes from ""many governmental sources"" but clarifies that data was compiled by Ansolabehere and Snyder"
